tag ID	tagname
95	finnish
23	slovak
801	iowa
4	groundbreaking
130	taiwanese
134	thai
154	war
52	netlabel
101	cotm
82	punkrock
29150	evangelion
24	digital hardcore
119	chinese
31357	of earth
52611	electro justice rock bbc one madeon remix daft punk winever manson contest 2012 krono skyfall
137	dark metal
21	special purpose artist
850	covered by 7
34257	jazz blaxploitation
142	hardcore metal
32998	http ecx images-amazon com images i 51ewtdx3zbl _sl160_aa160_ jpg
34934	kiehr
28	raggacore
70	creative commons
7676	senegal
32910	ska revival
52612	musicbrainz editor
33211	mp3-cd
33903	thrash death metal
32695	contemporary classical music
38	tracks with multiple artists
39	sillyname
40	hairmetal
73	scottish
26125	disco funkhouse
31399	date-2008-11-12
44	performance name
45	oc remixer
79	techstep
86	concept album
31440	nerdcore hip-hop
36494	louise williams
51	owned
30	dubstep
48	fixme
54	cdr label
66	swedish
33427	loc-名古屋市民会館
33428	ver-rearranged
13	turkish
30782	cedar rapids
60	elecronic
121	fictional
74	irish
63	cover art
64	bodensee
33668	instrument-nylon guitar
35953	1 11 225488 150 16878 38313 56873 80060 103723 125905 142593 157205 179218 204508
67	gothenburg
158	kurdish
52613	hirnlos; hirnloskunst; experimental
122	visual kei
2	down-tempo
34525	tamayura
104568	pittsburgh band
33436	bandurria
2783	baritone
34259	jazz instrumental
53	krautrock
78	neu rave
132	korean
42	norwegian
81	noisy
83	wild
84	seenlive
85	grindpunk
87	perfect debut
65	germany
34258	jazz lounge
90	best albums ever
96	i own this
97	dvd-audio
99	software company as artist
100	meta artist
54513	la paz
3	czech
105	japanese composer
107	japanese band
110	german hip-hop
31447	doomed men
112	ハロー プロジェクト
54632	form: karçe
116	japanese singer
118	soundtrack to the apocalypse
120	hebrew
126	ytmnd
128	british singer
136	ilemonati
139	swedish death metal
141	clean vocals
143	unplugged
144	pizza
148	portuguese
151	chiptunes
152	george w bush
153	protest
157	hindi
306	powerpop
199	malaysian
268	acoustic guitar
8620	frequently covered
320	duo
168	kick ass
313	kiwi
335	cd
307	canterbury
243	vocals
173	polish
176	bonus disc
283	canada
178	gameboy
258	madchester
245	music
183	humorist
231	hong kong
32232	nan
187	math rock
34935	lowton
189	ukulele
240	natural
191	synthrock
33212	sacred
250	itunes
194	snes
195	game composer
29615	ngs-artist credit
275	1995
262	islande
35732	street spirit
212	francophone
263	islandais
298	jamaican
190	hawaiian
35395	hot jazz
333	power electronics
32999	ivor novello nominated
296	south african
232	actor
218	owned-vinyl
185	seen live
220	incomplete
32390	amore
31358	give me everything you got
33049	electronica electro
224	jebediah
225	wanted
174	seattle
228	sid metal
52614	sounddesign; industrial; ambient; dark ambient; progressive; kaufhausmusik; noise
230	progg
246	new
32391	dean
233	tibetan
234	one-hit wonder
26826	ns
236	beijing
175	grunge
64301	mortimer nova
289	trailer music
52615	electro; psychedelic
177	vocalist
242	faustuss international
32703	paso doble
31400	date-2008-01-07
165	australian
163	orchestral
201	iranian
31359	jamie west
247	drums
251	gigs
252	fresh
295	soundtrack composer
254	socialism
319	brazilian
297	mastering
180	canadian
259	phil spector
292	cantonese
